# packages in environment at /users/evakrzisnik/.conda/envs/nanopack:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
aws-c-auth                0.9.1                h48c9088_3    conda-forge
aws-c-cal                 0.9.2                he7b75e1_1    conda-forge
aws-c-common              0.12.4               hb03c661_0    conda-forge
aws-c-compression         0.3.1                h92c474e_6    conda-forge
aws-c-event-stream        0.5.6                h82d11aa_3    conda-forge
aws-c-http                0.10.4               h94feff3_3    conda-forge
aws-c-io                  0.22.0               h57f3b0d_1    conda-forge
aws-c-mqtt                0.13.3               h2b1cf8c_6    conda-forge
aws-c-s3                  0.8.6                h4e5ac4b_5    conda-forge
aws-c-sdkutils            0.2.4                h92c474e_1    conda-forge
aws-checksums             0.2.7                h92c474e_2    conda-forge
aws-crt-cpp               0.34.4               h60c762c_0    conda-forge
aws-sdk-cpp               1.11.606             h32384e2_4    conda-forge
azure-core-cpp            1.16.0               h3a458e0_1    conda-forge
azure-identity-cpp        1.12.0               ha729027_0    conda-forge
azure-storage-blobs-cpp   12.14.0              hb1c9500_1    conda-forge
azure-storage-common-cpp  12.10.0              h4bb41a7_3    conda-forge
azure-storage-files-datalake-cpp 12.12.0              h8b27e44_3    conda-forge
binutils_impl_linux-64    2.44                 hdf8817f_2    conda-forge
biopython                 1.85            py313h07c4f96_2    conda-forge
bzip2                     1.0.8                hda65f42_8    conda-forge
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
ca-certificates           2025.10.5            hbd8a1cb_0    conda-forge
chopper                   0.11.0               hcdda2d0_0    bioconda
choreographer             1.1.2              pyhcf101f3_0    conda-forge
clang                     21.1.2          default_h36abe19_2    conda-forge
clang-21                  21.1.2          default_h99862b1_2    conda-forge
compiler-rt               21.1.2               hb700be7_1    conda-forge
compiler-rt_linux-64      21.1.2               hffcefe0_1    conda-forge
cramino                   1.1.0                h3dc2dae_0    bioconda
gflags                    2.2.2             h5888daf_1005    conda-forge
glog                      0.7.1                hbabe93e_0    conda-forge
icu                       75.1                 he02047a_0    conda-forge
kernel-headers_linux-64   5.14.0               he073ed8_2    conda-forge
keyutils                  1.6.3                hb9d3cd8_0    conda-forge
krb5                      1.21.3               h659f571_0    conda-forge
ld_impl_linux-64          2.44                 ha97dd6f_2    conda-forge
libabseil                 20250512.1      cxx17_hba17884_0    conda-forge
libarrow                  21.0.0           h56a6dad_8_cpu    conda-forge
libarrow-acero            21.0.0           h635bf11_8_cpu    conda-forge
libarrow-compute          21.0.0           h8c2c5c3_8_cpu    conda-forge
libarrow-dataset          21.0.0           h635bf11_8_cpu    conda-forge
libarrow-substrait        21.0.0           h3f74fd7_8_cpu    conda-forge
libblas                   3.9.0           36_h4a7cf45_openblas    conda-forge
libbrotlicommon           1.1.0                hb03c661_4    conda-forge
libbrotlidec              1.1.0                hb03c661_4    conda-forge
libbrotlienc              1.1.0                hb03c661_4    conda-forge
libcblas                  3.9.0           36_h0358290_openblas    conda-forge
libclang-cpp21.1          21.1.2          default_h99862b1_2    conda-forge
libcrc32c                 1.1.2                h9c3ff4c_0    conda-forge
libcurl                   8.14.1               h332b0f4_0    conda-forge
libdeflate                1.24                 h86f0d12_0    conda-forge
libedit                   3.1.20250104    pl5321h7949ede_0    conda-forge
libev                     4.33                 hd590300_2    conda-forge
