# packages in environment at /users/evakrzisnik/.conda/envs/quast:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
bedtools                  2.31.1               h13024bc_3    bioconda
blast                     2.16.0               h66d330f_5    bioconda
brotli                    1.2.0                h41a2e66_0    conda-forge
brotli-bin                1.2.0                hf2c8021_0    conda-forge
bwa                       0.7.19               h577a1d6_1    bioconda
bzip2                     1.0.8                hda65f42_8    conda-forge
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
ca-certificates           2025.10.5            hbd8a1cb_0    conda-forge
circos                    0.69.9               hdfd78af_0    bioconda
contourpy                 1.3.3           py313h7037e92_2    conda-forge
curl                      8.17.0               h4e3cde8_0    conda-forge
cycler                    0.12.1             pyhd8ed1ab_1    conda-forge
entrez-direct             22.4                 he881be0_0    bioconda
expat                     2.7.1                hecca717_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.15.0               h7e30c49_1    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.60.1          py313h3dea7bd_0    conda-forge
freetype                  2.14.1               ha770c72_0    conda-forge
glimmerhmm                3.0.4           pl5321h503566f_10    bioconda
icu                       75.1                 he02047a_0    conda-forge
joblib                    1.5.2              pyhd8ed1ab_0    conda-forge
k8                        1.2                  he8db53b_6    bioconda
kernel-headers_linux-64   5.14.0               he073ed8_2    conda-forge
keyutils                  1.6.3                hb9d3cd8_0    conda-forge
kiwisolver                1.4.9           py313hc8edb43_1    conda-forge
krb5                      1.21.3               h659f571_0    conda-forge
lcms2                     2.17                 h717163a_0    conda-forge
ld_impl_linux-64          2.44                 h1aa0949_4    conda-forge
lerc                      4.0.0                h0aef613_1    conda-forge
libblas                   3.9.0           38_h4a7cf45_openblas    conda-forge
libbrotlicommon           1.2.0                h09219d5_0    conda-forge
libbrotlidec              1.2.0                hd53d788_0    conda-forge
libbrotlienc              1.2.0                h02bd7ab_0    conda-forge
libcblas                  3.9.0           38_h0358290_openblas    conda-forge
libcurl                   8.17.0               h4e3cde8_0    conda-forge
libdeflate                1.25                 h17f619e_0    conda-forge
libedit                   3.1.20250104    pl5321h7949ede_0    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libexpat                  2.7.1                hecca717_0    conda-forge
libffi                    3.5.2                h9ec8514_0    conda-forge
libfreetype               2.14.1               ha770c72_0    conda-forge
libfreetype6              2.14.1               h73754d4_0    conda-forge
libgcc                    15.2.0               h767d61c_7    conda-forge
libgcc-ng                 15.2.0               h69a702a_7    conda-forge
libgd                     2.3.3               h6f5c62b_11    conda-forge
libgfortran               15.2.0               h69a702a_7    conda-forge
libgfortran5              15.2.0               hcd61629_7    conda-forge
libgomp                   15.2.0               h767d61c_7    conda-forge
libidn2                   2.3.8                hfac485b_1    conda-forge
libjpeg-turbo             3.1.2                hb03c661_0    conda-forge
liblapack                 3.9.0           38_h47877c9_openblas    conda-forge
liblzma                   5.8.1                hb9d3cd8_2    conda-forge
libmpdec                  4.0.0                hb9d3cd8_0    conda-forge
